Ecotype Number,Sequence 1,Sequence 2,Sequence 3,Sequence 4,Sequence 5,Sequence 6,Sequence 7,Sequence 8,Sequence 9,Sequence 10,Sequence 11,Sequence 12,Sequence 13,Sequence 14,Sequence 15,Sequence 16,Sequence 17,Sequence 18,Sequence 19,Sequence 20,Sequence 21,Sequence 22,Sequence 23,Sequence 24,Sequence 25,Sequence 26,Sequence 27,Sequence 28,Sequence 29,Sequence 30,Sequence 31,Sequence 32,Sequence 33
1,GN_B20,GS_B10,GN_B19,GN_C1,GN_C9,GN_B1,GN_B8,CS_C3,GS_A3,CN_A1,GN_C10,GN_A4,GN_B21,GN_B14,GN_B18,GN_B7,GN_C8,GA_E3,GN_A2,GA_C1,GN_B10,GN_B6,GN_B12,GN_B15,GN_C6,GN_B2,GN_C12,GN_B9,GA_E5,GS_A8,GN_A5,CN_D4,GS_A4
2,CS_A1,GA_E1,CN_A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GA_A5,GS_A7,GN_C5,GS_C4,GA_B12,GN_C2,GA_B8,CN_D2,GN_B16,GN_B5,GA_B11,GN_C3,GN_C4,,,,,,,,,,,,,,,,,,,,
4,GN_C11,CN_D3,GS_B2,CN_B1,CN_C2,GA_A1,GN_B4,GN_C7,GS_A5,GS_B4,GS_B1,,,,,,,,,,,,,,,,,,,,,,
5,CN_D1,CS_B1,CS_C2,CS_C4,GA_B7,GA_B1,GA_B3,CS_C5,GS_A9,,,,,,,,,,,,,,,,,,,,,,,,
6,GN_B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GA_E4,GN_A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CS_C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GS_C5,GS_B5,GA_D5,GA_D1,CS_C6,CN_B2,GA_A3,GA_B2,GA_B5,GA_C3,GA_B6,GS_A1,GA_B9,GA_B4,GS_C3,GA_C4,GA_A2,GS_C7,,,,,,,,,,,,,,,
Outgroup,CS_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
